metric,mean,ci95_lo,ci95_hi,values
accuracy,0.7857147017507794,0.7758490643423077,0.7955803391592511,"[0.7927844588344126, 0.7890841813135985, 0.7659574468085106, 0.7927844588344126, 0.787962962962963]"
balanced_accuracy,0.7315772989640799,0.7128095878053755,0.7503450101227842,"[0.7382991886662404, 0.7518849506196035, 0.7003847556992203, 0.7477038507212317, 0.7196137491141035]"
f1,0.6208224058517852,0.592220639860055,0.6494241718435153,"[0.6303630363036303, 0.6513761467889908, 0.5689948892674617, 0.6421725239616614, 0.6112054329371817]"
roc_auc,0.813547914431503,0.7902548778742958,0.8368409509887101,"[0.8258061435487755, 0.8267438345981358, 0.7661856159909051, 0.8274275654174175, 0.8215764126022809]"
pr_auc,0.6113358618971455,0.5802677851816437,0.6424039386126473,"[0.6051344916739785, 0.6207334613529281, 0.5590903615082073, 0.6138850327840322, 0.6578359621665816]"
