metric,mean,ci95_lo,ci95_hi,values
accuracy,0.7622141706924316,0.747146288900189,0.7772820524846742,"[0.7742830712303422, 0.7354301572617946, 0.755781683626272, 0.7779833487511564, 0.7675925925925926]"
balanced_accuracy,0.7619883242944383,0.7438839770653227,0.7800926715235539,"[0.7816893513482093, 0.7305051585972536, 0.7588022941111592, 0.7795945822503094, 0.7593502351652599]"
f1,0.652470251917282,0.631666683796099,0.673273820038465,"[0.6729222520107239, 0.6186666666666667, 0.6373626373626373, 0.6721311475409836, 0.6612685560053981]"
roc_auc,0.8289835699586682,0.815358001334325,0.8426091385830113,"[0.8424646442837094, 0.8156097600823415, 0.8101164872271289, 0.8444473048273113, 0.8322796533728496]"
pr_auc,0.5669455655994973,0.5360312669266839,0.5978598642723106,"[0.5812238018470639, 0.5578817505761732, 0.5099575934846823, 0.599959719621959, 0.5857049624676075]"
