metric,mean,ci95_lo,ci95_hi,values
accuracy,0.7820154520848324,0.7711364036841294,0.7928945004855353,"[0.7872340425531915, 0.7622571692876966, 0.7779833487511564, 0.7890841813135985, 0.7935185185185185]"
balanced_accuracy,0.7353576623626669,0.7221451047366504,0.7485702199886833,"[0.7353283119773457, 0.7123234518081639, 0.736949273333503, 0.7375725591476427, 0.7546147155466787]"
f1,0.6260487955446427,0.605874314042676,0.6462232770466093,"[0.6254071661237784, 0.5965463108320251, 0.6190476190476191, 0.6286644951140065, 0.6605783866057838]"
roc_auc,0.80210141822827,0.795396446319341,0.8088063901371989,"[0.8142838754681571, 0.8015042845356446, 0.7933433446172381, 0.7991741336500054, 0.8022014528703048]"
pr_auc,0.6372086321720147,0.6131846409010461,0.6612326234429834,"[0.6824027348373854, 0.6331379296374156, 0.6085188497230432, 0.635749462489726, 0.6262341841725038]"
