metric,mean,ci95_lo,ci95_hi,values
accuracy,0.7997798677493405,0.7935925688159862,0.8059671666826949,"[0.8038852913968547, 0.7946345975948196, 0.7964847363552267, 0.793709528214616, 0.8101851851851852]"
balanced_accuracy,0.7859085503481159,0.7757652332775185,0.7960518674187134,"[0.7912642523189862, 0.7869352295841263, 0.7679375906742345, 0.7840934570125977, 0.7993122221506346]"
f1,0.6877947285498449,0.6704639093659329,0.7051255477337569,"[0.6927536231884058, 0.6908077994428969, 0.6594427244582043, 0.68188302425107, 0.7140864714086471]"
roc_auc,0.8594727750112277,0.8524585538405556,0.8664869961818997,"[0.867039254602679, 0.8558308895006412, 0.8521893320437444, 0.8531855438095316, 0.8691188550995426]"
pr_auc,0.6534319381944048,0.6359626268850922,0.6709012495037174,"[0.6550606861052473, 0.6673435095834873, 0.6187008903564926, 0.6619717593432299, 0.6640828455835668]"
